52.79.100.73 - - [26/Jun/2020:05:05:36 +0000] "GET / HTTP/1.1" 200 13 "-" "curl/7.47.0"
211.200.51.31 - - [26/Jun/2020:05:35:54 +0000] "Q01EPVBJCVNJVEU9Sy1HUklECU9QPTUwMTg5CURJUj0yCU1ZSVA9ODYuMTExLjExOC4xMDUJUFQ9SwlWRVI9MzAzMDAwMQlJU1A9Swk=" 400 157 "-" "-"
211.51.116.131 - - [26/Jun/2020:09:34:22 +0000] "GET / HTTP/1.1" 200 14 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:09:34:23 +0000] "GET /favicon.ico HTTP/1.1" 200 14 "http://habitbread.ml/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
52.15.254.228 - - [26/Jun/2020:09:57:06 +0000] "GET /.well-known/acme-challenge/Y_EeG0b3VQ-OqFrtDFY4Jjz1CURTme7-hGZcfAHuH4o HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
64.78.149.164 - - [26/Jun/2020:09:57:06 +0000] "GET /.well-known/acme-challenge/Y_EeG0b3VQ-OqFrtDFY4Jjz1CURTme7-hGZcfAHuH4o HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
52.28.236.88 - - [26/Jun/2020:09:57:06 +0000] "GET /.well-known/acme-challenge/Y_EeG0b3VQ-OqFrtDFY4Jjz1CURTme7-hGZcfAHuH4o HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
64.78.149.164 - - [26/Jun/2020:09:57:06 +0000] "GET /.well-known/acme-challenge/5s6qMG4y_dbe-I2WbOB6UDriA06Ycf2y6gh3hLhdG50 HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
34.209.232.166 - - [26/Jun/2020:09:57:07 +0000] "GET /.well-known/acme-challenge/5s6qMG4y_dbe-I2WbOB6UDriA06Ycf2y6gh3hLhdG50 HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
34.209.232.166 - - [26/Jun/2020:09:57:07 +0000] "GET /.well-known/acme-challenge/Y_EeG0b3VQ-OqFrtDFY4Jjz1CURTme7-hGZcfAHuH4o HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
52.15.254.228 - - [26/Jun/2020:09:57:07 +0000] "GET /.well-known/acme-challenge/5s6qMG4y_dbe-I2WbOB6UDriA06Ycf2y6gh3hLhdG50 HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
211.51.116.131 - - [26/Jun/2020:09:57:46 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:09:58:26 +0000] "GET /.well-known/acme-challenge/Y_EeG0b3VQ-OqFrtDFY4Jjz1CURTme7-hGZcfAHuH4o HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:03:35 +0000] "GET /.well-known/acme-challenge/Y_EeG0b3VQ-OqFrtDFY4Jjz1CURTme7-hGZcfAHuH4o HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:04:26 +0000] "GET /.well-known/acme-challenge HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
220.70.197.179 - - [26/Jun/2020:10:07:49 +0000] "T1A9MzI2NzQJU0lURT1GSUxFX0pPCUNNRD1QSQlESVI9MglJU1A9SwlQVD1LCVZFUj0zMDIwMzAzCQ==" 400 157 "-" "-"
211.51.116.131 - - [26/Jun/2020:10:12:19 +0000] "GET / HTTP/1.1" 200 13 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:12:31 +0000] "GET /.well-known/acme-challenge/Y_EeG0b3VQ-OqFrtDFY4Jjz1CURTme7-hGZcfAHuH4o HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:12:40 +0000] "GET /.well-known/acme-challenge HTTP/1.1" 200 13 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
3.14.255.131 - - [26/Jun/2020:10:13:39 +0000] "GET /.well-known/acme-challenge/130-xArjDlVOQUgeXlGkXQrB37jGQ9d3j3ndT6qQt50 HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
66.133.109.36 - - [26/Jun/2020:10:13:39 +0000] "GET /.well-known/acme-challenge/130-xArjDlVOQUgeXlGkXQrB37jGQ9d3j3ndT6qQt50 HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
34.222.229.130 - - [26/Jun/2020:10:13:39 +0000] "GET /.well-known/acme-challenge/LgvnraDIIYjNovmzf8ZiDIfS6EoS7LWDriX7HZtK7RM HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
34.222.229.130 - - [26/Jun/2020:10:13:39 +0000] "GET /.well-known/acme-challenge/130-xArjDlVOQUgeXlGkXQrB37jGQ9d3j3ndT6qQt50 HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
66.133.109.36 - - [26/Jun/2020:10:13:39 +0000] "GET /.well-known/acme-challenge/LgvnraDIIYjNovmzf8ZiDIfS6EoS7LWDriX7HZtK7RM HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
18.196.96.172 - - [26/Jun/2020:10:13:39 +0000] "GET /.well-known/acme-challenge/130-xArjDlVOQUgeXlGkXQrB37jGQ9d3j3ndT6qQt50 HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
